gene,cellex_score,expr_proportion
Gm12534,0.99645744,0.709219858
RP24-158L15.3,0.991542587,4.964539007
Evx1os,0.991337771,4.964539007
H2-Q7,0.983417416,6.382978723
Evx2,0.981169907,1.063829787
Oas1e,0.980434989,0.709219858
Crhbp,0.978153375,7.092198582
4930579F01Rik,0.977625605,1.773049645
Rhox3a,0.975896959,0.354609929
Gm36831,0.975532595,0.709219858
Gm11697,0.97484011,0.354609929
Ccl8,0.972962034,1.773049645
Gm42953,0.972364594,1.418439716
Fbxw26,0.971828633,1.418439716
H2-Q6,0.970811956,4.964539007
H2-Q4,0.969333467,10.28368794
Klk1b8,0.96887971,0.354609929
Gm10556,0.968772775,1.063829787
2310057J18Rik,0.968320984,0.354609929
Hsd17b13,0.968183868,0.354609929
Gm44174,0.967201793,1.063829787
Cpb2,0.966410745,2.836879433
Panx3,0.962161109,0.709219858
P2ry10,0.961568909,0.354609929
Treh,0.959986631,0.354609929
Gm43248,0.95950062,7.092198582
Hist1h4a,0.959214154,0.354609929
Tex13,0.95908912,0.354609929
Gm26889,0.956548636,3.191489362
Vgll3,0.956085325,7.446808511
Gm26719,0.95540088,8.156028369
Gm9857,0.953194609,0.354609929
Olfr857,0.953194609,0.354609929
Olfr658,0.951274336,1.063829787
Asb4,0.949969029,17.0212766
Svep1,0.94992806,12.05673759
Gcg,0.946958117,75.17730496
Casp1,0.946596125,2.127659574
Gm7347,0.945322666,0.354609929
Gm136,0.945148555,0.354609929
Gm10706,0.944832924,0.354609929
Nlrc5,0.944451804,12.05673759
Aicda,0.942823649,0.354609929
0610033M10Rik,0.942545548,0.354609929
Ccdc80,0.940715118,6.382978723
1700092M07Rik,0.940388766,0.709219858
Chil4,0.938855696,1.063829787
Clec12a,0.93506932,0.354609929
Il20ra,0.93182659,1.418439716
Gm43612,0.929305885,0.354609929
Prlr,0.928990915,41.13475177
Socs3,0.928575113,6.382978723
Il1f6,0.92609646,0.354609929
Gm42954,0.924405806,9.929078014
Moxd1,0.924272157,3.191489362
Defb1,0.920539469,2.127659574
Gm14254,0.920381924,0.709219858
