gene,cellex_score,expr_proportion
Hsd11b2,0.992732023,1.994017946
6530403H02Rik,0.992579523,20.33898305
Gm13481,0.992145429,24.89199069
Abi3bp,0.987871649,10.66799601
Pifo,0.984161552,19.5746095
Gm42722,0.98379205,29.41176471
Gm12082,0.981153705,8.541043536
Klb,0.980813619,5.516782984
Gm2447,0.979433564,2.691924227
Mup2,0.979231439,1.196410768
Pcsk6,0.979158449,9.803921569
Tspan11,0.976573392,1.661681622
Syt10,0.976313122,29.27883018
Dnah10,0.972531556,5.18444666
Hydin,0.971339677,8.142239947
Sall3,0.969751978,4.486540379
Pmfbp1,0.964760738,10.23595879
Svil,0.964364042,21.76802925
D830026I12Rik,0.960037874,0.963775341
Cd44,0.959315104,4.154204055
Gpr6,0.958549532,0.697906281
Tmem132c,0.957875959,20.20604852
Gm12930,0.956478384,3.356596876
Krt9,0.956163213,0.731139914
Gm11128,0.955963666,0.864074443
Apol10b,0.954909742,0.265869059
Efhb,0.954530298,6.746427385
Ddo,0.954211529,3.6889332
D330045A20Rik,0.953804491,1.694915254
Gm27239,0.95372861,1.163177135
Tmc3,0.95191286,1.561980724
Adamts18,0.950664775,10.46859422
Gzmk,0.948700107,11.73147225
Gm26911,0.948558801,9.637753406
Mpped2,0.948432442,75.67298106
4933427G17Rik,0.947348755,5.284147557
Sall1,0.946897078,2.891326022
Agtr1a,0.946849537,9.405117979
Bpifb1,0.946272746,1.030242606
1700042O10Rik,0.94544139,37.72017281
Coch,0.943590011,2.426055168
Cfap161,0.941446676,2.891326022
Esm1,0.940700181,4.752409438
H2-Q2,0.939837052,2.625456962
Gm29266,0.938442061,2.558989698
Dbh,0.938192905,11.59853772
Cacng5,0.937967189,12.13027584
Ccdc108,0.937388152,5.815885676
Gm43634,0.937038869,1.861083416
Ankrd33b,0.935228001,3.456297773
Ddc,0.934201769,49.61781323
Gm10825,0.933852426,0.199401795
Vgll4,0.933736253,26.95247591
Hnf1b,0.932481491,2.59222333
Npffr1,0.932436049,4.420073114
Chia1,0.932044245,1.761382519
Maats1,0.930898468,3.855101363
Mettl24,0.930395838,6.081754736
1700057H15Rik,0.929750267,2.658690595
Pparg,0.929400516,11.39913593
Ptger2,0.92938926,1.894317049
Ripk4,0.928491189,0.864074443
Ttc21a,0.928226231,2.193419741
RP23-267I20.3,0.92616983,0.232635427
Cngb1,0.925725606,9.13924892
Acvr1c,0.924580362,3.356596876
Unc13c,0.923957227,69.69092722
Drc7,0.923677774,1.861083416
Lrrc43,0.922985665,3.6889332
Cfap53,0.922185229,3.290129611
Tmem132cos,0.922142972,2.060485211
Rspo1,0.920690259,2.991026919
Zbtb16,0.916402892,18.04586241
Tekt2,0.914476507,5.217680292
Gm44079,0.914441138,0.398803589
Parva,0.914435717,16.55034895
4930528G23Rik,0.913381864,0.332336324
Rasef,0.912963128,4.519774011
1700040L02Rik,0.911797834,6.646726487
Nek10,0.909467075,11.89764041
Zfpm2,0.907069733,52.27650382
Tc2n,0.905261128,2.060485211
Cdh4,0.904553088,45.43037554
Cfap44,0.902875486,8.04253905
Gm17173,0.901333599,2.126952476
Cfap70,0.900589417,5.982053838
Amelx,0.899659359,1.794616152
Epb41l2,0.899380009,14.72249917
C1qtnf1,0.893694319,1.628447989
Tead1,0.893232827,37.88634098
Pou2f2,0.893194094,32.23662346
Gck,0.892523792,7.809903622
Bpifb5,0.89247023,0.797607178
Gm4792,0.89056799,0.398803589
F12,0.889052459,2.193419741
Pou6f2,0.888792284,30.10967099
4930444P10Rik,0.888042082,5.782652044
Kif27,0.88553091,3.057494184
G930045G22Rik,0.884916667,1.395812562
Efemp1,0.884020828,3.988035892
Shroom1,0.883838001,2.226653373
D630024D03Rik,0.879249825,3.95480226
Gpr1,0.878543525,6.314390163
Cnga3,0.877703818,2.226653373
Kcnip1,0.87696244,48.32170156
Slc22a3,0.876546032,1.794616152
Phox2b,0.875523774,13.85842473
Tmcc3,0.874687891,54.3037554
Slc16a12,0.873300423,1.927550681
Vwa3a,0.873035321,6.879361914
Zbbx,0.872664429,10.40212695
Cfap206,0.872442617,6.380857428
Cntnap5c,0.870665307,59.95347291
2810471M01Rik,0.870058299,0.332336324
Zmynd10,0.870006569,2.293120638
Cubn,0.866631955,3.522765038
Gm37020,0.865846745,0.398803589
Ppp1r32,0.865707795,0.631439016
Efcab1,0.863690579,8.773678963
Tle4,0.863264367,42.40611499
Fkbp5,0.862728334,17.44765703
Maoa,0.862610332,17.97939515
Pcsk5,0.862130626,13.92489199
Catsperg2,0.859762289,0.664672649
Myof,0.857896973,0.930541708
2210420H20Rik,0.85786575,0.897308076
Cml3,0.85510352,2.359587903
Chil5,0.853317422,1.528747092
Gdpd2,0.853017672,3.389830508
Igsf9,0.852940687,9.072781655
Alk,0.849280833,54.33698903
Gpr176,0.849225881,34.49651047
Gpr143,0.848662225,1.030242606
F13a1,0.847855139,6.447324693
Gbp7,0.846889468,0.963775341
Gpat2,0.846817197,0.232635427
Gda,0.844524954,9.670987039
Fam167a,0.844232794,2.326354271
Galnt6,0.843947329,4.818876703
Arg2,0.843332313,1.196410768
Gm28807,0.839235672,0.864074443
Drc1,0.837632931,16.28447989
Mapk15,0.836445182,3.024260552
Slc17a8,0.83611671,2.924559654
Lrrc36,0.835843343,3.888334995
Cracr2a,0.835231153,5.084745763
Cdhr2,0.834426751,1.894317049
Hpcal4,0.832670176,5.649717514
Ptchd2,0.832526141,8.939847125
Irf1,0.832511067,3.589232303
Gm28750,0.832341801,3.622465936
Rps6ka6,0.832048039,3.589232303
Lrrn3,0.831985976,7.676969093
Mdh1b,0.830909318,0.830840811
Cyth3,0.830109525,30.34230641
E530001K10Rik,0.828376462,6.912595547
Rapgef5,0.828344222,41.27617149
Nr3c2,0.827366445,55.99867065
Rph3al,0.826775378,15.05483549
Gm11454,0.824876798,1.728148887
Gm15261,0.824353413,7.278165503
Stk32b,0.824125261,6.015287471
Taf9b,0.821694594,3.389830508
Mob3b,0.821537131,5.45031572
Parvaos,0.821247917,1.129943503
St6galnac3,0.818824454,34.7291459
Galnt14,0.818774667,29.8105683
Sdk1,0.817610754,55.23429711
Spag16,0.817519125,16.55034895
RP23-332G12.1,0.816250814,1.36257893
Sec16b,0.816062593,2.160186108
Pkd1l3,0.814088046,2.525756065
Gm14280,0.813823312,1.794616152
Htr5b,0.813726121,1.2296444
Ccdc81,0.81369792,2.060485211
Pi16,0.813164838,6.447324693
Gm37035,0.812800928,0.465270854
