gene,cellex_score,expr_proportion
A630012P03Rik,0.997671388,20.73732719
Gpc3,0.991525346,39.63133641
Gm14582,0.98945665,18.58678955
Gm12128,0.982255073,1.612903226
Gm12130,0.981388804,2.534562212
Gpr83,0.973651644,3.302611367
Unc45b,0.9727988,1.843317972
Afp,0.971250531,1.459293395
B230364G03Rik,0.971215438,0.614439324
Lncenc1,0.970033001,28.7250384
Gm11725,0.967915946,3.149001536
G930045G22Rik,0.96626425,2.611367127
Antxrl,0.964863907,2.150537634
Cnksr1,0.954642029,0.614439324
5830473C10Rik,0.953476801,0.921658986
Sema3a,0.952399262,39.63133641
Zan,0.949389652,7.219662058
Ptgfrn,0.947894744,10.82949309
Ptger4,0.946403855,4.761904762
Adamts18,0.944932372,10.13824885
Shisa6,0.936878425,61.05990783
L3mbtl4,0.936140179,33.48694316
Col5a2,0.935241937,5.299539171
Stk32a,0.931923342,32.94930876
Dnah9,0.929498812,25.34562212
Glt8d2,0.928544226,1.766513057
Scn7a,0.928186723,8.21812596
C1ql3,0.916788886,16.20583717
Tanc1,0.916493348,23.57910906
Itga8,0.915952175,8.21812596
Vav3,0.915117583,51.84331797
Hnf4g,0.910158745,10.98310292
F12,0.908516119,2.380952381
Wisp1,0.905091626,0.844854071
Lrp4,0.903611122,2.22734255
1700120C18Rik,0.902583095,0.076804916
Alk,0.902236374,61.29032258
Myo5b,0.901518402,9.907834101
Sspo,0.90042569,1.843317972
Gm43948,0.897253426,1.996927803
Drd5,0.89669148,1.075268817
Crnde,0.894263008,7.450076805
2210420H20Rik,0.893940725,0.921658986
Gm16876,0.890171577,2.380952381
Fibcd1,0.887638927,5.145929339
Tmem235,0.887086818,0.69124424
Gm20686,0.886246122,0.69124424
Dpy19l2,0.885698559,5.376344086
Nmu,0.885495493,4.4546851
Ptpru,0.884473567,14.59293395
AW551984,0.87167606,16.51305684
Pdyn,0.871346165,2.380952381
Frem3,0.868764686,2.073732719
Tnnt2,0.86772926,1.228878648
Nmbr,0.862513512,1.382488479
Cdhr2,0.858208844,1.996927803
Gm2694,0.855751004,7.450076805
Npy4r,0.854852733,0.384024578
Gm14139,0.854103539,0.076804916
Ptprb,0.851652237,2.073732719
Gm26911,0.850943279,7.910906298
Tmem114,0.848728939,2.611367127
Piezo2,0.847766449,5.606758833
Kif13a,0.84606076,39.093702
Gfra2,0.845228012,10.44546851
Adamtsl1,0.836297875,13.97849462
Cdh9,0.832608904,33.25652842
Peg12,0.831746676,0.153609831
Krtcap3,0.831549503,1.996927803
Gm28342,0.827541493,0.384024578
Cbln1,0.827359941,3.225806452
Fam19a1,0.825304945,75.19201229
Tgm2,0.824039982,2.22734255
Gm38101,0.823567525,1.152073733
Gm14246,0.822533283,0.844854071
Pld5,0.820051269,77.18894009
Ms4a7,0.819090451,0.153609831
Myof,0.816837361,0.921658986
D830026I12Rik,0.814209871,0.69124424
Gm28516,0.813558015,0.384024578
RP23-344G21.5,0.813084039,4.070660522
Dusp14,0.811445056,1.152073733
Atp2c2,0.810731042,1.228878648
Tacr1,0.808096576,8.986175115
Irx5,0.805981906,1.689708141
Gm26995,0.804752069,0.384024578
Nos1,0.804579631,11.52073733
4933424G06Rik,0.803415218,7.757296467
Fam196b,0.80295839,13.28725038
Afm,0.802144281,2.91858679
Calb1,0.798018901,14.3625192
Nckap5,0.797417,36.94316436
Parva,0.794718302,13.74807988
Gm15398,0.794686133,45.46850998
4930568G15Rik,0.794540634,1.843317972
Myh7,0.792824256,1.382488479
1700012B09Rik,0.792284711,1.612903226
Ston2,0.789074605,24.96159754
Gm28905,0.788528738,50.15360983
Avpr1a,0.788482428,0.998463902
Ndst4,0.788347848,32.71889401
Npffr1,0.786295335,3.302611367
Vldlr,0.786279954,13.59447005
Efcab1,0.785148554,8.371735791
Prrt4,0.769810072,2.22734255
D430036J16Rik,0.769370186,1.843317972
Gm20554,0.767519106,0.921658986
4930562D21Rik,0.7665449,0.076804916
Cmtm3,0.765400968,1.766513057
Ppm1m,0.763782069,4.531490015
Trpv6,0.763167156,0.384024578
Gm7347,0.759020732,0.076804916
Abi3bp,0.757115796,5.069124424
Tmem200a,0.756840034,11.75115207
Jph2,0.755873433,0.69124424
Slit3,0.75555786,59.52380952
Adamts16,0.755059121,6.835637481
Fam179a,0.750248822,4.147465438
Lama1,0.750125308,10.13824885
Lmo2,0.749994029,2.764976959
2700069I18Rik,0.748701158,21.35176651
Ano3,0.745677933,37.71121352
Slc24a4,0.745037727,1.766513057
Vwa2,0.740702664,0.153609831
Ntng1,0.73890452,84.40860215
Trpc4,0.73831795,19.58525346
Anxa9,0.733684313,1.075268817
Skap2,0.731618083,32.94930876
Otog,0.731060494,0.614439324
Irx3,0.729917876,2.22734255
2010300F17Rik,0.72607087,9.370199693
Gm4128,0.725071352,8.832565284
Fgfr1,0.723450432,18.50998464
Treh,0.720826921,0.076804916
Hn1l,0.717765164,4.761904762
Synpr,0.717611209,45.85253456
Cdh10,0.716573214,74.19354839
Pnpla2,0.709841266,2.150537634
Tac1,0.707648171,9.139784946
Pappa2,0.702802585,6.835637481
Gm16036,0.697586802,1.305683564
BC030499,0.696492657,6.144393241
Rtn4r,0.694638272,2.073732719
Zmat4,0.690426918,53.30261137
Zfhx3,0.690314216,72.73425499
1700024B18Rik,0.689698776,10.06144393
Tle4,0.68792122,37.94162826
Ebf1,0.687598855,68.66359447
Wdr95,0.686107218,1.920122888
Dhx58,0.685330321,1.075268817
5031415H12Rik,0.684886541,5.760368664
9530036O11Rik,0.684776653,10.98310292
Suclg2,0.683701759,4.377880184
Npsr1,0.683074883,5.453149002
Hoxb7,0.682484263,0.768049155
Vwa1,0.681849161,3.456221198
Ghsr,0.68133031,0.768049155
Gm10637,0.680400174,0.384024578
Cpne4,0.680227782,40.62980031
Kcng3,0.678662516,5.529953917
Adamts2,0.677046625,18.27956989
Hs6st3,0.669135877,78.26420891
Gm12116,0.666701635,3.225806452
Sema3e,0.666299927,33.41013825
Gm13652,0.665789556,0.460829493
Pla2g2c,0.665769516,0.768049155
Gm13052,0.665274148,21.88940092
Med11,0.663465892,0.844854071
Slit1,0.661219185,17.43471582
Hoxb6,0.660399597,6.221198157
Gm11734,0.660217797,0.921658986
Ido2,0.659213876,0.768049155
Grm1,0.657958745,34.02457757
