gene,cellex_score,expr_proportion
Casr,0.998372006,18.4370613
Slc6a2,0.995889405,11.97941039
Etv1,0.993687358,33.08376228
Ppara,0.991348039,12.77491811
Glp1r,0.989772323,8.797379504
Gfral,0.987629033,11.74543753
Pirt,0.983875483,13.47683669
Bace2,0.974504409,11.65184839
Gch1,0.974349399,7.861488067
Drd3,0.974292435,2.433317735
Adora2a,0.971263272,2.199344876
Ddc,0.967319952,45.06317267
1700042O10Rik,0.964456853,31.3991577
Lpcat2,0.964096637,18.29667759
Sntg2,0.963841249,15.06785213
Gm26911,0.962797806,8.469817501
Dsc3,0.96266236,2.339728591
Lrat,0.961390708,1.216658868
Hk3,0.958534686,2.386523163
Rfx2,0.957897884,9.686476369
Skor1,0.954174262,3.790360318
Skap1,0.952347915,34.95554516
Kif26a,0.94675237,3.649976603
2010300F17Rik,0.944712442,12.44735611
Prkd1,0.943450087,35.47028545
Gpr149,0.941625616,15.72297613
Bdnf,0.940228563,18.06270473
Acsl1,0.934414083,28.68507253
Ano1,0.932282039,6.13008891
Rarb,0.932008322,43.75292466
Gper1,0.931816778,0.935891437
Camk2a,0.931775733,47.44969584
Gm13912,0.930260126,11.60505381
Lyzl4,0.930252403,1.310248011
Tmem164,0.928762666,34.67477773
Dsg2,0.928444188,4.492278896
Ammecr1,0.926543268,33.59850257
Sh3bp4,0.925731441,9.171736079
Plxnd1,0.924651557,1.403837155
Kcng3,0.922895451,7.487131493
Trpc7,0.922852447,21.80627047
L3mbtl4,0.922476487,26.95367337
Gnb3,0.921775941,3.696771175
Igf1,0.91985685,3.041647169
A230072I06Rik,0.918781231,0.327562003
Gcnt2,0.913098595,16.09733271
Arhgef28,0.911821374,27.65559195
Gm43388,0.911694555,1.123069724
Gfra1,0.909226512,20.63640618
Lrrc36,0.907274344,4.35189518
Sctr,0.906207889,6.364061769
Dhrs3,0.902472172,3.509592887
Gm28578,0.901394257,3.649976603
Tns3,0.901389967,6.270472625
Trpc5os,0.90053159,1.450631727
Parm1,0.89988532,35.42349088
Ppp1r17,0.899352329,0.748713149
Gm2447,0.897022463,1.403837155
Gm43821,0.894035177,3.83715489
Lmo3,0.891926568,12.02620496
Trpc5,0.891136075,42.58306036
Gda,0.888641818,9.358914366
Npy1r,0.88794885,1.965372017
Tmtc2,0.886541678,62.61113711
Dbhos,0.883316782,0.655124006
Dpy19l2,0.883089742,4.398689752
Gm42439,0.88280745,18.34347216
Npy5r,0.882451278,2.714085166
Mmp2,0.881400671,1.357042583
Gm14964,0.875529034,3.696771175
Cyp26b1,0.875276079,0.842302293
Ece1,0.875226044,18.20308844
A730004F24Rik,0.874985927,0.795507721
Lpar3,0.874829628,1.497426299
Lncenc1,0.874679556,17.40758072
Ascl1,0.872227723,0.467945718
Tshr,0.870817706,8.844174076
Bub3,0.870241869,12.21338325
Ramp3,0.868937434,4.258306036
Dkk3,0.868075931,9.920449228
Rnf220,0.866996034,89.51801591
Spx,0.861738262,3.088441741
Fam163b,0.861727604,5.521759476
Bdkrb2,0.861530207,4.164716893
Tox,0.860260945,30.97800655
Frmd7,0.858381192,1.357042583
Fam19a2,0.855231404,72.67197005
Mgat4d,0.855074296,0.233972859
Klb,0.853956616,3.088441741
Lmo4,0.852107546,13.57042583
H2-Q2,0.851871495,1.824988301
Mgat4a,0.848129081,24.28638278
Hlf,0.843016907,7.580720636
Rph3al,0.84285063,12.35376696
Ackr3,0.841002191,1.076275152
Lhpp,0.84087605,2.386523163
Lhfp,0.84086025,11.69864296
Flrt3,0.836801541,13.14927468
Uncx,0.836579364,4.164716893
Dbh,0.832947984,6.925596631
Zcchc16,0.832847022,57.32335049
Abhd15,0.827628258,3.930744034
Cfap53,0.826001843,2.246139448
Paqr8,0.823859821,12.35376696
Hoxb7,0.822526343,0.842302293
F13a1,0.821159825,5.194197473
Nts,0.819605467,4.35189518
Gm11802,0.81685696,1.169864296
Agtr1a,0.816087226,5.007019186
Efnb2,0.815918068,6.738418343
Macrod2os1,0.814635296,3.228825456
Notch2,0.814506715,4.632662611
Chst8,0.814017803,15.62938699
Tle3,0.812037984,5.240992045
Cd24a,0.811152448,4.258306036
Arl13a,0.810425028,1.684604586
Tmem154,0.809896123,0.280767431
Ngf,0.807270698,0.842302293
Eif2ak2,0.805854355,2.199344876
Gm12828,0.803971972,2.854468882
Klhl29,0.803690644,59.24192794
Nell1,0.803453519,56.57463734
Hoxb8,0.802995671,0.467945718
Hoxb6,0.799919635,5.240992045
Aox3,0.799910051,1.403837155
Rprm,0.799746124,3.041647169
Hs3st3b1,0.799560361,2.386523163
Clmn,0.796802279,10.66916238
Ush1c,0.796098655,3.462798315
Fam107b,0.796004652,7.065980346
Tph2,0.794543604,1.310248011
Rgs3,0.794416768,9.686476369
Smad3,0.791986945,2.386523163
Lrig1,0.787481606,3.369209172
Gm4128,0.784009159,7.487131493
Nmb,0.782610101,2.901263453
Mmp17,0.781811995,4.86663547
Akap13,0.779970643,29.66775854
Nfe2l3,0.778116894,4.35189518
D030068K23Rik,0.776094697,44.26766495
Sema5a,0.775362851,28.45109967
Pdpn,0.775240813,1.965372017
Kcnq5,0.771416909,70.28544689
Pdyn,0.770137931,1.871782873
Clec1a,0.769046884,1.02948058
Maml3,0.768848305,50.02339729
St3gal4,0.766243288,20.02807674
Ptpn13,0.764956736,6.317267197
Afp,0.763464024,0.51474029
Six6,0.759857027,0.046794572
RP23-362F15.1,0.759852715,5.38137576
Ly75,0.759623192,2.620496022
Cntnap3,0.75924824,6.598034628
Gbp7,0.757882976,0.748713149
Pvrl3,0.755873728,7.814693496
Zfp467,0.75507141,4.398689752
1110019D14Rik,0.753540178,9.733270941
Igsf10,0.753014339,1.357042583
Epha8,0.750363574,1.965372017
Zfpm2,0.749708379,35.42349088
Fam189a2,0.749667691,3.977538606
Hoxb5,0.747491322,8.282639214
Lgi1,0.74593425,19.88769303
Adgrg3,0.744992738,1.02948058
Gm43948,0.74473791,1.076275152
Man2a1,0.743609223,18.62423959
B230312C02Rik,0.742775071,9.358914366
9330162B11Rik,0.742515246,0.046794572
