gene,cellex_score,expr_proportion
Eya1,0.996492828,40.34632035
Ebf3,0.994370531,34.37229437
Nt5dc2,0.975687268,2.424242424
D030055H07Rik,0.964101805,0.952380952
Dsc3,0.9639098,2.510822511
Necab1,0.962497407,48.91774892
Calb1,0.961974556,22.16450216
Frk,0.961061754,1.904761905
Gm43337,0.957986663,0.173160173
Neurog2,0.956857008,0.692640693
Fbn2,0.954477843,19.04761905
Eya2,0.95447016,12.64069264
Htr3a,0.952980963,0.865800866
Gm4779,0.951372429,2.424242424
Arhgap6,0.950377199,34.54545455
Gmnc,0.95022217,4.935064935
Gm14114,0.947012851,1.125541126
Ptx3,0.941279711,0.519480519
Plk5,0.936991881,5.281385281
F2rl2,0.935651222,0.952380952
Bmp3,0.935049019,1.558441558
Sec1,0.935018015,4.329004329
Pamr1,0.93453641,4.761904762
Kcns3,0.932577291,6.32034632
D430036J16Rik,0.93216668,2.857142857
Lypd5,0.931435162,0.25974026
Slc26a4,0.929692638,0.779220779
Gm11844,0.923642204,2.424242424
Ifit1,0.915263509,1.298701299
Vegfc,0.914761635,4.848484848
P4ha3,0.910662297,7.532467532
4930470P17Rik,0.909431759,0.25974026
Zic4,0.907330759,11.51515152
Lgr5,0.906920815,17.31601732
Iqgap2,0.903954226,9.61038961
Foxo1,0.903916817,8.051948052
Dab2,0.902243191,3.29004329
Hs3st4,0.899207852,62.94372294
Etv1,0.893355822,14.11255411
Mpped1,0.89244054,7.705627706
Cdca7,0.887837025,0.519480519
E2f7,0.887028158,0.606060606
Htr1b,0.886359972,2.164502165
A730046J19Rik,0.884724422,0.432900433
Spats2l,0.881356906,27.0995671
Gm27040,0.87599134,0.779220779
Tox,0.875767785,41.2987013
Tlx3,0.874601029,2.164502165
Nfib,0.873956565,23.11688312
Gm26507,0.867880618,0.952380952
Drd2,0.867745251,3.116883117
Shisa6,0.866503561,51.16883117
Amelx,0.865422368,1.645021645
Car8,0.864449836,3.29004329
Rspo2,0.859897447,8.484848485
Cdc14a,0.858193605,3.54978355
Dnah9,0.857095734,20.60606061
Tmem30c,0.856314133,2.077922078
Calb2,0.851594381,6.060606061
Slc24a4,0.84881275,2.597402597
Gm14254,0.848257738,0.086580087
Chd7,0.847715463,18.7012987
6330403A02Rik,0.84589457,6.406926407
Tex15,0.845106214,4.242424242
D830039M14Rik,0.843902765,0.25974026
Fermt1,0.842906871,1.038961039
Satb1,0.842700077,15.23809524
Man1a,0.839679451,44.84848485
Tnxb,0.838901953,1.125541126
Diaph3,0.833782642,7.272727273
Pxdc1,0.832766356,1.125541126
Rcn1,0.831754694,3.54978355
Drc7,0.831152155,1.471861472
Gm37020,0.831092798,0.25974026
BC030499,0.830420856,6.666666667
Ffar4,0.830298397,0.432900433
Ptch2,0.830238719,4.069264069
Prss33,0.829505172,0.173160173
Nptx2,0.829198035,0.779220779
Grp,0.828307442,4.588744589
Reln,0.825920531,16.36363636
Zic2,0.8248887,0.779220779
Gm26902,0.824876178,0.692640693
Fgf7,0.821585797,1.212121212
Rgsl1,0.820999306,1.385281385
Hs3st5,0.819568728,66.75324675
Gm10837,0.816263994,0.519480519
Sidt1,0.810459985,26.83982684
Rab3b,0.80942344,23.11688312
Lix1,0.805509662,6.493506494
Rasal1,0.805477395,2.857142857
Gm28410,0.805303981,0.692640693
Adamts19,0.80441315,7.359307359
1700001O22Rik,0.802773239,1.298701299
Gm29483,0.802753283,0.086580087
Trpc3,0.802591481,26.06060606
Glt8d2,0.802110284,1.212121212
Sgpp2,0.801621464,13.59307359
Dclk3,0.800102237,5.367965368
Col23a1,0.799385768,4.502164502
Lrrc75a,0.795390154,3.80952381
Ankfn1,0.792937348,26.49350649
Bcl11b,0.792299134,14.71861472
Zfp503,0.791343398,1.125541126
Gm12116,0.78885904,3.54978355
Plekha7,0.785753381,17.74891775
Cdh3,0.784855106,1.385281385
Rapgef3,0.784818301,3.896103896
Slc2a13,0.783325783,51.86147186
Wnt3,0.782931903,1.298701299
Traip,0.777760024,3.722943723
Gas7,0.777541391,14.02597403
Gm15261,0.77716873,7.0995671
Clgn,0.776177181,11.6017316
Gm21739,0.775698766,0.606060606
Kcnip1,0.767337653,38.87445887
Grm1,0.765325086,33.85281385
Gm9945,0.76344005,1.904761905
Gm16998,0.759845471,0.692640693
Bcl2,0.758237995,31.34199134
Gm16141,0.758212626,6.406926407
Zic3,0.755701414,2.077922078
Arl4d,0.751954111,0.519480519
Tpbg,0.75121131,4.155844156
Gm2464,0.749734985,0.952380952
Radil,0.747750783,18.52813853
Gm12120,0.74713667,1.471861472
Mpped2,0.744908526,54.28571429
Zfp536,0.743859659,37.92207792
Nrgn,0.740856893,1.645021645
Ncald,0.739435124,41.99134199
Gm26688,0.732419661,33.85281385
Mdga1,0.731996567,13.16017316
Sult5a1,0.728604439,0.865800866
Trpv6,0.728341089,0.346320346
F13a1,0.72491692,5.714285714
Camkv,0.724696578,15.4978355
B4galnt3,0.723293636,2.597402597
Gm29478,0.721310884,6.58008658
Tfap2a,0.71995553,10.90909091
Fam189a1,0.719668988,46.49350649
Fgf13,0.7186836,46.58008658
Efcab6,0.717862836,2.943722944
Cpne1,0.717604518,0.173160173
E230025N22Rik,0.7146508,0.952380952
Grm8,0.712102277,54.71861472
Gfra1,0.711982228,16.62337662
Ntn5,0.710718187,0.086580087
Gm26907,0.703124237,0.606060606
Fancb,0.703085097,0.952380952
Gm16075,0.701557715,0.519480519
Adora1,0.699818961,5.021645022
Ccdc182,0.699310481,0.086580087
Apol7d,0.698499519,0.086580087
Cd5,0.693265675,0.519480519
AY761184,0.692274067,0.086580087
Gm16701,0.69048177,1.904761905
Itga7,0.690084271,2.510822511
Dock10,0.688532414,37.05627706
Xdh,0.685732309,0.779220779
4930524B15Rik,0.684903601,0.346320346
Gm5627,0.682232151,0.779220779
Zic1,0.682037627,9.090909091
Mei4,0.680504972,15.67099567
Nxph3,0.67987073,0.779220779
Prss30,0.674064583,0.086580087
Hpgd,0.668703716,1.125541126
