gene,cellex_score,expr_proportion
Ggta1,0.996396286,25.29381707
Myo15b,0.996136649,6.438426162
Tbx3,0.994886625,16.19826265
Tbx20,0.994555068,47.47061829
P2rx2,0.993527003,17.01584057
Ush1c,0.992946148,28.41083291
Samd9l,0.992699676,9.197751661
Tbx2,0.99186334,4.394481349
Tbx3os1,0.9916723,23.8630557
Mill2,0.989851001,37.60858457
Gm27207,0.989495962,1.328564129
Gm26507,0.988755859,5.058763413
Hk2,0.988598101,13.79662749
Samd13,0.988389821,6.642820644
Fbn2,0.988191671,61.52273889
Cyp4v3,0.988184319,21.46142054
Nr4a2,0.987347019,30.76136944
Chrnb3,0.986111707,2.146142054
Bard1,0.985906722,13.28564129
Tgm2,0.98474559,11.24169647
Ppm1j,0.983124906,9.657639244
Qrfpr,0.982390438,23.91415432
Scube1,0.981652107,35.46244251
Myl1,0.981419257,4.190086868
A4galt,0.980579325,33.72508942
Chrna6,0.979845923,10.47521717
Kcng1,0.979405784,17.78231988
Gm12649,0.979336083,9.351047522
Snhg18,0.97810032,5.160960654
Bmpr1b,0.978059792,45.37557486
Gm29374,0.977959068,11.70158406
Cyyr1,0.976889751,28.46193153
Chrna5,0.975825263,10.27082269
Runx1,0.975492758,17.8334185
Gm14264,0.972287405,8.737864078
Sstr5,0.971106651,3.883495146
Gm44031,0.970854152,2.299437915
Slc6a19,0.970548132,2.248339295
Npy2r,0.969929187,20.592744
Plscr4,0.969593628,44.30250383
Gm10637,0.969579473,2.350536536
Sytl2,0.9694985,39.34593766
Vtcn1,0.969065675,6.285130301
Gm43782,0.968370498,0.664282064
Plod2,0.968257562,20.64384262
Slc22a18,0.967753475,2.503832397
Prph,0.967745735,70.72049055
Tm4sf4,0.967657826,10.11752683
Tbx3os2,0.964331125,2.759325498
Kif26a,0.963382895,10.67961165
Cndp1,0.963213777,7.051609607
Met,0.962944615,14.40981094
Tnfsf11,0.962883215,1.430761369
Ifi35,0.962798772,25.85590189
Herc6,0.962699396,24.06745018
Fn1,0.961956832,7.256004088
4930579H20Rik,0.961436382,2.248339295
Itgb6,0.959456698,7.869187532
Trpv1,0.959169209,2.759325498
Myo1b,0.959082762,58.66121615
Abcb1a,0.958277147,6.387327542
Lmo4,0.955882645,46.39754727
Wnt9a,0.955791453,4.59887583
Bche,0.955412673,21.00153296
Slc25a43,0.955255012,9.759836484
Chat,0.954894412,55.39090445
Gm12484,0.954174816,1.788451712
Oxtr,0.954075464,3.219213081
Gm10687,0.95405173,5.876341339
Cav1,0.953899082,3.117015841
Gm10663,0.953021355,0.408788963
Adam12,0.952896423,48.33929484
Jph1,0.951430591,18.14001022
Id1,0.950939129,5.569749617
4931429I11Rik,0.950897406,11.39499234
Ifi27,0.950499955,51.7629024
Isl1,0.950494385,8.942258559
Gm26532,0.948841703,14.30761369
Prokr1,0.948585178,1.226366888
Gm15418,0.946231192,10.32192131
Capn9,0.94601307,2.810424119
Fkbp9,0.945288327,6.642820644
Col5a3,0.944095525,15.17629024
Lrmp,0.943476611,1.686254471
Gm2990,0.943014847,9.402146142
Clic1,0.942728794,24.98722534
Chrna3,0.941817695,27.69545222
Trem2,0.941538371,5.314256515
Nr2f1,0.941456467,20.74603986
Npy4r,0.941303101,1.124169647
Rbm46,0.940795763,1.379662749
Lpar1,0.940688253,13.69443025
Kcnj12,0.939573895,10.06642821
Gm13571,0.939248198,1.48185999
Mtap7d3,0.938483,3.985692386
Magix,0.938424822,1.021972407
Gm26797,0.938369535,3.270311702
Gm28376,0.938367323,31.73224323
Acacb,0.938268969,16.35155851
Ano2,0.937607607,7.818088912
Slc5a7,0.937562079,66.0705161
Mab21l3,0.937331563,5.467552376
Pxmp2,0.937212276,9.299948901
Ccdc152,0.936852909,1.430761369
Plscr1,0.936317016,7.56259581
Asb2,0.935960317,4.343382729
Tmem178,0.935006731,37.35309147
Gm37650,0.932952842,0.664282064
Col4a1,0.931940905,23.55646398
Ccdc170,0.931722515,5.518650996
Eif4ebp1,0.931462804,2.708226878
Plp2,0.930836412,3.372508942
5730559C18Rik,0.930132621,3.730199285
Ntsr1,0.93000877,8.584568217
Dennd2d,0.929667299,6.847215125
Neat1,0.929411018,56.77056719
Gm28836,0.927378212,5.416453756
Mvp,0.927162921,6.489524783
Gm26854,0.926359741,9.0444558
Susd5,0.92570044,5.671946857
Ehd2,0.924010164,4.445579969
Apobec1,0.92391326,8.277976495
Vwc2l,0.923610609,77.61880429
Gm6260,0.923450344,1.839550332
Figf,0.923175119,7.256004088
Cckar,0.923021171,5.671946857
Acadl,0.922914366,23.55646398
A830082K12Rik,0.922090257,49.51456311
Lamb3,0.921788041,9.248850281
Gm16064,0.921732335,0.919775166
6530411M01Rik,0.921717489,2.657128258
Tgfb1i1,0.921658865,5.109862034
Klf10,0.921415987,10.83290751
Ecel1,0.921413889,55.54420031
Onecut1,0.921362313,1.021972407
Prima1,0.921200055,15.5850792
Flnc,0.920908112,3.883495146
Dysf,0.92073598,32.14103219
Trim25,0.920112871,7.256004088
Ar,0.919602129,50.12774655
Vill,0.919230737,1.788451712
Prkcd,0.917682134,11.49718958
Otog,0.917068438,2.197240675
Cd40,0.91702357,6.13183444
Wdr72,0.9170223,6.0296372
Exd1,0.916800373,10.93510475
Gm37035,0.916683198,1.53295861
Esyt3,0.916327316,15.48288196
Lama2,0.915874273,35.9223301
Cdh11,0.915809899,54.11343894
Adamts2,0.915553013,50.48543689
Dkkl1,0.915526031,5.416453756
Id3,0.914803474,9.09555442
Kcnj5,0.914627768,2.708226878
Stx1a,0.913869013,45.52887072
Tsga13,0.912036748,1.328564129
E2f2,0.911226633,2.299437915
Id2,0.909471965,15.38068472
Dgkk,0.90930135,18.44660194
Cebpe,0.909046063,0.919775166
Galnt3,0.908688554,4.445579969
Ucp2,0.908636403,6.182933061
Olfml2b,0.908345141,11.19059785
Rasl10a,0.907959146,6.591722024
Slc12a7,0.90765659,5.212059274
Gm20649,0.906748335,10.98620337
S100a11,0.906478556,12.00817578
Fam150b,0.905957613,8.073582013
Pla2g4d,0.905760638,0.664282064
Golim4,0.904982971,35.25804803
Mcam,0.904813203,17.8334185
Cdk15,0.904775258,4.445579969
C1qtnf6,0.904477513,1.941747573
Gabra1,0.903809474,58.61011753
Rnd3,0.903446466,22.22789985
Pcsk1,0.903073059,43.28053143
Slc47a1,0.902877785,5.058763413
Col6a2,0.902809472,7.971384773
Esyt1,0.902758146,12.87685232
Defb42,0.902596842,1.890648952
Klf6,0.902145439,15.38068472
Tuba1c,0.902098481,1.021972407
4632428C04Rik,0.901892897,4.394481349
Ret,0.901755098,24.93612672
Npffr1,0.900631491,8.686765457
Tiam2,0.900527046,11.90597854
Lmo2,0.899107482,7.715891671
Trim16,0.898632392,3.576903424
Dppa2,0.897833478,0.970873786
Lst1,0.897317704,3.781297905
Rasgrf2,0.896917206,65.04854369
Coro2a,0.896888546,32.29432805
Abcc8,0.896340338,40.11241696
Inf2,0.896184637,6.745017885
Adrb3,0.895795218,2.452733776
Gm27169,0.89510103,1.53295861
Gm14168,0.894701008,2.606029637
Sfxn3,0.894437528,36.1778232
Sema5a,0.893886878,73.07102708
Syt17,0.892673984,54.21563618
Igsf21,0.892363292,32.49872253
Chrnb4,0.891708463,9.657639244
Epb41l4a,0.891022263,26.46908533
Gm4577,0.890443862,3.781297905
RP23-191I16.3,0.890172318,0.664282064
Rdh12,0.889468402,3.781297905
Bean1,0.888950497,26.52018396
Slc18a2,0.888930282,17.5779254
Mroh3,0.888775188,2.043944813
Ppp1r18,0.888098416,3.679100664
Birc3,0.887490742,7.051609607
Rab3d,0.886366383,7.153806847
Itpripl2,0.88625748,1.58405723
Fbxl7,0.88498577,73.3776188
P2ry1,0.884915027,4.292284108
Ddah2,0.884896155,6.745017885
Greb1,0.884172949,9.913132345
Sacs,0.88411644,36.58661216
Mvk,0.884090255,12.11037302
Slc9b2,0.883837373,14.92079714
Lepr,0.88326938,21.00153296
Dgkg,0.881615689,58.55901891
Traf3ip3,0.881343141,1.890648952
Tmem54,0.881302238,1.175268268
Palm3,0.881209307,4.241185488
Gm12023,0.881166179,5.978538579
Stbd1,0.880411262,1.941747573
Plac8l1,0.880096906,4.087889627
Tpmt,0.879178389,10.88400613
Slc6a12,0.879077888,1.58405723
Spink4,0.877584219,0.970873786
Bst2,0.877445855,2.503832397
Trim14,0.877406714,10.01532959
Cmya5,0.877034485,4.854368932
Stat6,0.876703112,4.803270312
