gene,cellex_score,expr_proportion
4930544I03Rik,0.998305163,32.87327478
Arhgap28,0.994809387,21.07904642
Npsr1,0.991690629,21.14178168
Grp,0.989088107,11.48055207
Dkk2,0.988990069,28.54454203
Oprk1,0.980380551,12.42158093
Sytl5,0.979094679,15.30740276
Stk26,0.977634788,7.904642409
Synpr,0.975348733,71.01631117
Dio2,0.97124557,1.191969887
Egr2,0.967448455,0.439146801
1110015O18Rik,0.966094159,7.026348808
Gm27247,0.962901043,24.40401506
Gal,0.958626968,78.79548306
Gm15839,0.956901001,0.501882058
Gpr101,0.956036568,7.65370138
Gm29771,0.955759072,2.25846926
Col14a1,0.955121502,8.971141782
Lypd6,0.954624905,13.17440402
Dmkn,0.953555502,2.69761606
Adamts19,0.953276958,11.22961104
Col6a1,0.951645813,4.391468005
Bves,0.949914794,6.08531995
Wfdc1,0.949494547,1.56838143
Amelx,0.947536248,2.446675031
Fam83b,0.947029993,2.070263488
Ano3,0.9417763,54.14052698
Il1rapl2,0.940667717,83.75156838
Crnde,0.935708127,7.465495609
Mid1,0.9356602,33.8770389
Gm43647,0.934579789,4.830614806
Ppef1,0.933320453,3.136762861
Gm15261,0.932204111,9.723964868
Celsr1,0.928074894,2.070263488
Tmem45a,0.92529053,1.693851945
Asb4,0.923185884,4.140526976
Eya4,0.919638132,6.775407779
Hnf4a,0.91937226,0.690087829
Gsap,0.918215543,14.30363864
Abi3bp,0.917198768,6.775407779
Dlk1,0.916774408,12.35884567
Rarb,0.916531103,49.81179423
Gm3235,0.913314374,1.944792974
Prok1,0.911172896,2.132998745
D16Ertd472e,0.904949359,1.317440402
Irx5,0.90320189,2.195734003
Casz1,0.900285824,20.70263488
Fibcd1,0.897876519,5.081555834
Tac1,0.890683514,11.91969887
Dpy19l1,0.88936329,9.222082811
4930509J09Rik,0.888070156,40.4642409
Tmem114,0.88779684,2.69761606
Adra1a,0.887374482,27.72898369
Gm27151,0.885818425,7.340025094
Cpne4,0.882612051,48.6825596
Bche,0.88146936,6.273525721
Gm15345,0.87987087,7.65370138
Cldn1,0.875899811,0.376411543
P2rx7,0.874560602,2.132998745
Gm16223,0.873178352,4.516938519
Irx3,0.872130793,3.324968632
Pgpep1l,0.871458026,6.461731493
Ccdc64b,0.870034434,0.250941029
C1ql3,0.869485534,13.61355082
Col6a2,0.869228248,3.262233375
Ildr2,0.867004661,12.92346299
Nmu,0.866363978,3.764115433
Ppara,0.865120941,5.081555834
D030068K23Rik,0.862091356,56.58720201
Gm20754,0.861819855,80.11292346
Gm28578,0.860542888,3.952321205
Gm28928,0.860479293,62.1706399
1700029H14Rik,0.860467837,1.380175659
Irx1,0.857481856,2.132998745
Ttc22,0.854815322,1.380175659
4930455G09Rik,0.853256455,0.815558344
Khdrbs3,0.852290869,37.26474279
Trpm3,0.851476141,93.97741531
Pcdh18,0.84952252,1.56838143
Col19a1,0.849405934,15.18193225
Cald1,0.847555935,19.38519448
Qrfpr,0.847522882,5.834378921
Colq,0.843952042,3.262233375
March3,0.843612982,29.04642409
Nlrp4c,0.840647488,1.882057716
Lifr,0.840633629,10.22584693
Cntnap4,0.837651697,54.57967378
Spdye4b,0.837469637,0.188205772
Fam83f,0.832420187,1.066499373
Frmd6,0.832298925,5.959849435
Syt17,0.832084019,23.65119197
Zfhx4,0.830572549,62.79799247
Phox2a,0.829899235,0.627352572
Nmbr,0.828807717,1.254705144
Prrg1,0.828254738,9.849435383
Scn5a,0.82751366,3.513174404
Fam181a,0.821451052,0.690087829
Gm12682,0.820690469,15.74654956
Gm13490,0.819536434,0.815558344
4933427G17Rik,0.819430294,3.575909661
Gnb4,0.817393704,11.66875784
Plpp4,0.8158057,30.92848181
4930528G23Rik,0.815474501,0.188205772
Dlk2,0.812314249,7.402760351
Acot11,0.808299292,11.91969887
Gfra2,0.807878686,9.284818068
Sphkap,0.807172355,47.30238394
Tac2,0.80262995,0.376411543
Gm17210,0.798979107,0.564617315
Egfr,0.791513166,1.317440402
Ebf1,0.790474455,64.30363864
4930519A11Rik,0.790134943,0.439146801
Cbln1,0.787619588,2.69761606
Lypd6b,0.787353089,8.469259724
Lrp4,0.786630462,1.819322459
Gm13599,0.785538024,2.823086575
Lix1,0.785450305,6.712672522
Gm20686,0.784177607,0.627352572
Igsf1,0.783915953,0.941028858
Maob,0.782686017,4.140526976
Pde5a,0.781051495,10.47678795
Cdh13,0.780672113,66.31116688
Clca3a2,0.77929847,0.439146801
Slc35f4,0.77716417,43.41279799
Catsperg1,0.77705871,5.708908407
Efna5,0.776972138,91.3425345
Schip1,0.772269029,10.16311167
Gfpt2,0.77004923,3.074027604
Tmem163,0.76838873,44.98117942
Hsd11b1,0.767886193,1.756587202
Hk3,0.766789071,1.003764115
Gm20554,0.765644779,0.941028858
Arhgap36,0.765550322,3.82685069
Slitrk1,0.761275366,3.38770389
Il20ra,0.761214189,0.313676286
Gm14254,0.760322025,0.125470514
Nell2,0.758795921,49.49811794
4930500L23Rik,0.75852275,0.941028858
Sdpr,0.754811581,1.442910916
Rcan2,0.754217114,41.59347553
Gpr165,0.752695214,1.631116688
4930524B15Rik,0.752489691,0.439146801
Arhgap6,0.750958802,25.97239649
Dok2,0.750796063,1.631116688
Ryr1,0.750755434,4.830614806
Tmcc3,0.750365015,45.98494354
Dpy19l2,0.750037726,3.82685069
Grik1,0.746444281,28.98368883
Tox2,0.746022409,17.44040151
Tctex1d1,0.745915196,1.56838143
Gm7467,0.745576584,4.642409034
Tmem158,0.745278823,2.885821832
Fam26e,0.74513776,0.878293601
2700069I18Rik,0.744991413,18.75784191
Tmeff2,0.744967719,86.32371393
Gm10637,0.744430641,0.439146801
Galr1,0.743085526,2.634880803
Adamts2,0.737754657,17.69134253
Gm26994,0.734581949,0.627352572
Efemp1,0.733630198,3.324968632
Klhl5,0.73318482,7.465495609
Kirrel3,0.732352396,69.00878294
As3mt,0.731629291,8.720200753
Antxr2,0.730702083,2.070263488
Gm2115,0.730091376,2.509410289
Gm4876,0.729684952,24.96863237
Ssbp4,0.726386264,19.63613551
Vwa5b1,0.72453738,16.18569636
Gm28516,0.723643426,0.313676286
Mtl5,0.722560355,0.376411543
Tap1,0.718087936,0.878293601
Prelid2,0.716187694,0.752823087
Tacr3,0.713286634,8.34378921
