gene,cellex_score,expr_proportion
Gm28928,0.986835718,84.92920566
Ankfn1,0.98207382,39.88480922
Chst9,0.981536019,10.34317255
Skor2,0.978863361,4.65562755
Gm12068,0.977950008,5.471562275
Cnih3,0.97570841,8.135349172
Bcl11a,0.97364989,51.33189345
Prkd1,0.97186625,42.45260379
Tsx,0.968766869,4.439644828
Gm12064,0.964255573,10.65514759
4921506M07Rik,0.962849121,3.839692825
Kctd16,0.960164361,67.69858411
Tmem132d,0.957610958,56.8274538
2900055J20Rik,0.953133486,17.25461963
Klhl14,0.951375003,17.68658507
Kctd1,0.948395649,23.35013199
Ryr1,0.947865559,6.695464363
Neurod2,0.947569703,3.623710103
Spon1,0.94184422,33.40532757
Lama1,0.941332629,12.28701704
Bmp3,0.940314317,1.463882889
Crym,0.939519149,1.53587713
RP23-240M8.2,0.938221539,5.639548836
Npbwr1,0.936182259,0.791936645
BC030867,0.935364587,1.079913607
Gad1,0.933452979,15.09479242
Ak5,0.931995463,44.4924406
Gad1os,0.931353941,4.151667867
Rasgrp1,0.928285684,3.04775618
Mcc,0.925123406,46.62826974
Hepacam,0.922007823,7.439404848
Gm27199,0.918065449,3.07175426
Pdzd2,0.915463791,25.0299976
Gm26604,0.912765552,1.51187905
Ptger3,0.912480054,2.783777298
Glipr1,0.9103927,3.1437485
Spata16,0.910086124,3.19174466
Egfem1,0.909313324,80.7775378
Gm15997,0.909029179,1.295896328
Arhgap15,0.908639027,26.58987281
Sorcs1,0.902230262,70.36237101
Zbtb16,0.900172674,15.07079434
Slc30a3,0.899757406,5.951523878
Lemd1,0.89550889,14.90280778
Col12a1,0.891349265,8.087353012
St8sia6,0.890555611,14.15886729
Adamts5,0.890302589,3.527717783
Lhx5,0.888678215,2.495800336
Amn,0.886650867,2.063834893
Necab1,0.885465787,28.07775378
Erbb4,0.884140005,85.74514039
Tmem65,0.884084247,13.00695944
Tacr3,0.88195195,8.615310775
Gm26688,0.880687249,32.85337173
Nkain3,0.880419795,59.56323494
Lmod1,0.879510341,1.727861771
Rxfp1,0.87905981,2.927765779
Pnoc,0.878079755,2.975761939
Tmtc4,0.875158269,11.13510919
Nnmt,0.874724188,0.503959683
Nxnl2,0.872656294,1.367890569
