gene,cellex_score,expr_proportion
Tff2,0.995858343,1.020408163
D130052B06Rik,0.994498664,4.081632653
Gm28183,0.987011651,1.020408163
Col6a5,0.986075188,50
Gm29387,0.98411063,1.020408163
Gm42564,0.9829532,1.020408163
Alox12b,0.981837669,3.06122449
Gm28644,0.980070106,2.040816327
Gm28870,0.978916413,1.020408163
1700014D04Rik,0.978440176,1.020408163
Gm9755,0.976198456,1.020408163
Glyatl3,0.975427459,1.020408163
Gm42980,0.97374534,1.020408163
Kcnmb4os1,0.970782126,4.081632653
Hist1h4c,0.970541216,2.040816327
Gm16120,0.968590739,1.020408163
Sh2d2a,0.967182896,1.020408163
Gm16587,0.966929665,1.020408163
Aspg,0.966005373,3.06122449
Gm5796,0.962755748,5.102040816
1700101O22Rik,0.960439822,1.020408163
5830432E09Rik,0.959878253,2.040816327
Gm15762,0.958500805,1.020408163
A2m,0.958200637,27.55102041
Gm13782,0.957273477,1.020408163
Ctcflos,0.954894207,42.85714286
Lama3,0.949955459,35.71428571
Usp17le,0.949711629,1.020408163
Gm14951,0.948666959,1.020408163
Gm26580,0.947460504,2.040816327
Gapt,0.946772925,1.020408163
RP23-16L19.5,0.944601119,1.020408163
Cpne1,0.943918348,1.020408163
Npy,0.943472694,42.85714286
Nmu,0.943284367,21.42857143
Ms4a7,0.942776449,1.020408163
Gm13485,0.938796593,1.020408163
Aadacl3,0.938433424,1.020408163
Mylk,0.936977891,21.42857143
Dnmt3l,0.935723842,3.06122449
Tacr1,0.935464639,45.91836735
Gm26707,0.934117832,2.040816327
Gm3488,0.931706309,16.32653061
Cldn16,0.931162264,1.020408163
Vmn2r69,0.93113127,1.020408163
Oca2,0.92939342,21.42857143
Tac1,0.929194931,54.08163265
2610042L04Rik,0.923724133,5.102040816
Gxylt2,0.92253182,9.183673469
Nptx2,0.919286815,4.081632653
Gm27217,0.915809351,1.020408163
Spdye4b,0.915591878,1.020408163
Gucy2e,0.913064894,3.06122449
Gm28402,0.907951244,1.020408163
Scrg1,0.906358955,7.142857143
RP23-174K7.1,0.905981843,1.020408163
Cbln4,0.904714409,11.2244898
Ctcfl,0.902203522,2.040816327
Sall1,0.898746882,7.142857143
Car9,0.897681928,1.020408163
Sec1,0.8965774,12.24489796
Siah3,0.895348104,42.85714286
Psma8,0.89532094,6.12244898
Gm28062,0.894989361,5.102040816
Prss47,0.894383021,1.020408163
Dmrtb1,0.888593269,2.040816327
Cd160,0.887271316,2.040816327
Adamts3,0.886667385,36.73469388
Slc6a12,0.885354675,2.040816327
Prr33,0.882916239,1.020408163
Ccdc64b,0.881936871,1.020408163
Gcnt4,0.88048563,2.040816327
Myo1a,0.878866009,4.081632653
Gm15050,0.878379628,4.081632653
Htr5b,0.877431184,5.102040816
Gm26569,0.869524999,3.06122449
Fbxo32,0.859383248,7.142857143
Hs3st6,0.854620339,2.040816327
Itga8,0.85362217,17.34693878
A930003O13Rik,0.853246212,3.06122449
Rtp4,0.853242876,4.081632653
Slc4a11,0.852594593,3.06122449
Amigo2,0.847455685,8.163265306
Slc6a3,0.843046943,1.020408163
Sema3a,0.841108559,60.20408163
Gm9930,0.841051409,5.102040816
1110015O18Rik,0.839288079,10.20408163
Gm3383,0.838483487,9.183673469
Pou4f1,0.837927451,10.20408163
Ror1,0.837587329,35.71428571
Gm3173,0.837056912,12.24489796
Slc24a4,0.835155677,6.12244898
Stxbp6,0.834252338,64.28571429
Pcsk5,0.833578361,36.73469388
Ung,0.832143912,2.040816327
Gm43832,0.831511515,2.040816327
Dcst2,0.8273703,2.040816327
1700125H20Rik,0.826082049,2.040816327
Gm3002,0.8243272,13.26530612
Panct2,0.818675904,5.102040816
Fut1,0.813319581,2.040816327
Cadps2,0.812407582,81.63265306
Tfap2a,0.806672063,28.57142857
Gm8108,0.803269143,2.040816327
Gm28873,0.802479926,7.142857143
Pnoc,0.802254697,7.142857143
Gm3252,0.80192748,3.06122449
Fgd6,0.79912639,6.12244898
Fam20a,0.79706927,5.102040816
Prss23,0.796651645,1.020408163
Gm12116,0.79576845,9.183673469
Gm16075,0.79366658,2.040816327
Zmynd10,0.791325706,6.12244898
Ccdc67,0.790897462,3.06122449
Ppp1r13l,0.78901932,3.06122449
Gm3411,0.788190039,5.102040816
Npff,0.786797394,9.183673469
Dennd1c,0.786165232,2.040816327
Ptchd2,0.784478468,20.40816327
1700001O22Rik,0.781203971,3.06122449
Gm16175,0.780228786,1.020408163
Rpl9,0.779119255,9.183673469
Gm13404,0.778331905,12.24489796
Cckar,0.777186875,5.102040816
Itgb1bp1,0.776614482,8.163265306
Tnfrsf8,0.776118728,2.040816327
Gpr149,0.775364838,27.55102041
Gda,0.772729513,21.42857143
Nptx1,0.769501817,13.26530612
Ovol2,0.769501132,2.040816327
Gm3985,0.767864106,2.040816327
Tmem74,0.763932747,1.020408163
Sorcs2,0.763120971,26.53061224
Gm2974,0.760029351,4.081632653
Lama5,0.756304972,5.102040816
Gm16194,0.751785807,2.040816327
Tox3,0.75054726,15.30612245
Aldh1a2,0.74760867,2.040816327
4930455H04Rik,0.747292251,1.020408163
Zfp454,0.745832724,3.06122449
D430036J16Rik,0.744000474,4.081632653
Nans,0.742399158,5.102040816
Ptpre,0.742225831,32.65306122
Efcab6,0.741012785,7.142857143
Gm3558,0.740762796,7.142857143
Murc,0.740241616,7.142857143
Cblc,0.738649362,2.040816327
Gm3264,0.735264161,4.081632653
Tead3,0.732612884,2.040816327
Sox5os4,0.732356615,10.20408163
Gm27010,0.730565425,1.020408163
2700033N17Rik,0.729969453,3.06122449
Col6a4,0.729478978,2.040816327
Engase,0.728629814,4.081632653
Adamts5,0.728554342,7.142857143
Penk,0.728519605,75.51020408
Socs2,0.726879761,31.63265306
Fibin,0.726720089,2.040816327
Gm10681,0.725047743,4.081632653
