gene,cellex_score,expr_proportion
Wnt16,0.995524492,5.199189737
Slc38a11,0.995142806,22.38352465
Lhfpl2,0.993702065,32.88318704
Mtap7d3,0.992886971,6.482106685
Angpt1,0.99203616,50.3713707
Pde5a,0.991073629,50.23632681
Mndal,0.98989206,6.178257934
Myo7a,0.988600928,18.06212019
Pde3a,0.988171366,46.25253207
Gulo,0.98785774,6.684672519
Gm14264,0.987742674,8.203916273
Pdia5,0.987543728,40.78325456
Fign,0.985721955,80.72248481
Gm17473,0.984584412,3.342336259
4930579H20Rik,0.984516189,2.228224173
Lama2,0.981813846,39.60162053
Atp2c2,0.980851009,4.929101958
Exph5,0.980414701,6.448345712
Gm28836,0.979958568,6.009453072
1700112E06Rik,0.978613283,62.9304524
Adam12,0.977869189,46.45509791
Cmtm8,0.977161859,6.212018906
Esyt3,0.976973995,16.47535449
Gm13582,0.976469024,1.45172181
Plscr4,0.976061872,36.09047941
Nr4a2,0.975618108,21.67454423
Acacb,0.97452097,14.95611074
Zim1,0.974375694,38.52126941
Tbx20,0.973381828,23.39635381
Slc9b2,0.97320266,17.3193788
Cul4b,0.97314906,41.32343011
Tmem26,0.973118481,19.78392978
Vit,0.972820206,13.23430115
Prtg,0.972130222,32.61309926
Cdk15,0.971676354,4.65901418
Jag1,0.971657017,7.29237002
Kcnj5,0.97133437,2.734638758
Plac8l1,0.970779784,4.895340986
Neurl3,0.969666228,1.586765699
Galnt3,0.968582187,4.355165429
Snca,0.968480174,85.31397704
Wls,0.968399987,50.6076975
Runx1,0.967580042,13.5381499
Rdh12,0.967289354,3.578663065
Plscr1,0.967016208,7.629979743
6530411M01Rik,0.966734757,2.498311951
Gm12781,0.966370377,3.848750844
Gimap6,0.964766916,4.118838623
Onecut2,0.964211943,29.10195814
Gm13601,0.963165729,1.080351114
5730559C18Rik,0.961881545,3.814989872
Sema3c,0.961133854,36.52937205
Islr2,0.960987798,0.607697502
A4galt,0.96086929,23.63268062
Cebpe,0.959887037,0.810263336
Samd9l,0.959445046,4.591492235
Masp1,0.958423438,11.5800135
Mgam,0.958412176,4.456448346
P2rx2,0.958336792,6.785955436
Cmtm7,0.958240397,3.916272789
Cyyr1,0.95822779,19.58136394
Col16a1,0.957771649,15.22619851
Sema5b,0.957561452,22.48480756
Ankle1,0.957316662,1.417960837
Prss12,0.957037548,14.01080351
Card11,0.956986623,5.09790682
Teddm3,0.956618652,1.485482782
Chat,0.956374294,47.33288319
Slc9b1,0.955946661,5.131667792
Ssc5d,0.955635491,5.53679946
Npffr2,0.954499757,32.71438217
Hk2,0.953526977,7.596218771
Col5a3,0.953298972,12.82916948
Slco2a1,0.953264044,18.73733964
Vill,0.953038136,1.654287643
Prph,0.952218347,60.7359892
Gucy2c,0.952075866,2.126941256
Msn,0.950997033,30.18230925
Osbpl3,0.950638181,22.6873734
3300002A11Rik,0.950536454,33.35584065
Greb1,0.95036679,9.453072248
Mill2,0.950102853,18.63605672
Gm3294,0.949700684,22.65361242
Prima1,0.947949104,13.47062795
Atp10a,0.947823423,25.21944632
Ntng2,0.947527437,30.82376772
