gene,log2_fold-change,SE,pvalue,padj
Ptpn21,1.224143846,0.030410014,0,0
Dap,1.220436477,0.02958121,0,0
Man1c1,1.220238497,0.028145422,0,0
Mrps6,1.218262372,0.028955005,0,0
Klhl14,1.216122509,0.032466836,4.5557E-307,1.0088E-305
Drp2,1.214862607,0.023564831,0,0
Abcc4,1.214402792,0.037294062,1.3753E-232,2.109E-231
Idh2,1.214332629,0.028396355,0,0
Dclre1c,1.210227999,0.043807481,5.4135E-168,5.9249E-167
Itgav,1.210041478,0.030538162,0,0
Arhgap17,1.209170601,0.034987455,1.0045E-261,1.7934E-260
Acadl,1.20911559,0.027583599,0,0
Ptbp1,1.208141772,0.021120942,0,0
Cflar,1.207881326,0.039283123,1.2965E-207,1.766E-206
Kcnmb4,1.20650433,0.041506254,9.1115E-186,1.1111E-184
Stard8,1.205208663,0.033843946,9.5477E-278,1.8096E-276
Gdpd5,1.202920518,0.037099849,1.2654E-230,1.9243E-229
Cdk5rap2,1.201122036,0.027188083,0,0
Limd1,1.199230129,0.027627377,0,0
Fam167a,1.198832531,0.04257842,2.0308E-174,2.3177E-173
Gsta4,1.197307685,0.033494697,7.5829E-280,1.4585E-278
Tcf7l2,1.196932375,0.038296149,1.9308E-214,2.7156E-213
Nrp1,1.194193315,0.027684326,0,0
Rfx4,1.192829659,0.025394765,0,0
Loxl3,1.192192791,0.041459136,7.6533E-182,9.1241E-181
Crybg3,1.189571073,0.03992878,4.9121E-195,6.2588E-194
2010111I01Rik,1.187544188,0.02964263,0,0
Enox2,1.184703218,0.035967736,6.2958E-238,9.8886E-237
Snx33,1.18436057,0.031426985,0,0
Ocln,1.182871641,0.031955882,6.3853E-300,1.3544E-298
Ece1,1.182641482,0.033118086,2.7814E-279,5.3442E-278
Hoxb5,1.182287552,0.026489277,0,0
Bmp1,1.182131065,0.032175662,1.6846E-295,3.5037E-294
Nfe2l2,1.177023799,0.027287976,0,0
Acot2,1.175008,0.040987287,9.6686E-181,1.1467E-179
Tcn2,1.173563627,0.035001029,1.7975E-246,2.9376E-245
Eng,1.172109221,0.036483308,1.8348E-226,2.7284E-225
Rorc,1.169260246,0.041639407,1.6897E-173,1.9175E-172
Lamb2,1.168886395,0.030570536,0,0
Cpt1a,1.16741516,0.021828875,0,0
Aldh1a1,1.16673385,0.035251175,3.2041E-240,5.072E-239
Gcnt2,1.164919416,0.027674428,0,0
Cd151,1.164892085,0.034855719,6.9304E-245,1.1245E-243
Spry4,1.164087869,0.036449273,8.1338E-224,1.192E-222
Tnfrsf1a,1.162777378,0.04107077,2.4907E-176,2.8787E-175
Rspo1,1.160408458,0.043387098,1.394E-157,1.4291E-156
Ephx1,1.158679575,0.03445755,6.9269E-248,1.1455E-246
Pard3b,1.155903694,0.039054446,1.6218E-192,2.0364E-191
Plec,1.155805425,0.044300684,4.733E-150,4.6203E-149
Tmem178,1.152791387,0.035211838,4.3908E-235,6.8198E-234
Cpt2,1.152732694,0.02925945,0,0
Ticam1,1.148467335,0.034249317,1.6167E-246,2.6445E-245
Gria1,1.148229461,0.024567704,0,0
Tie1,1.143078427,0.037370871,1.7994E-205,2.4237E-204
Tns2,1.140574519,0.034623748,5.5127E-238,8.6662E-237
Spata6,1.137943624,0.029578124,0,0
Zfp36l1,1.137196323,0.036997518,1.8189E-207,2.472E-206
Eef2kmt,1.136944546,0.038043715,3.063E-196,3.9138E-195
Uaca,1.135853279,0.037410529,1.7521E-202,2.3171E-201
Pde5a,1.13490671,0.038535801,1.2329E-190,1.5353E-189
Col9a3,1.133865396,0.043340406,7.2245E-151,7.0791E-150
Rbms3,1.132588694,0.036331501,2.4188E-213,3.3861E-212
Sh3bp5,1.132086599,0.023418251,0,0
Galns,1.131038454,0.032653816,6.9499E-263,1.2457E-261
Arap3,1.130817399,0.037396049,7.2894E-201,9.5769E-200
Myo1b,1.130520822,0.030256057,1.4413E-305,3.1492E-304
P3h1,1.12490898,0.040163126,1.2802E-172,1.4473E-171
Acsl1,1.124889144,0.018620506,0,0
Tulp3,1.121653684,0.031275194,1.1126E-281,2.1629E-280
Adgrf5,1.119521149,0.034599095,1.1077E-229,1.6747E-228
Scarb1,1.118649001,0.031267039,2.4937E-280,4.8066E-279
Myh9,1.118244431,0.030728478,5.8776E-290,1.1897E-288
Parm1,1.117952074,0.030389294,2.9044E-296,6.0546E-295
Il4ra,1.117531302,0.037255448,1.0916E-197,1.4038E-196
Cntfr,1.116509796,0.031726156,2.6418E-271,4.8797E-270
Cnn2,1.114021075,0.042921221,1.5959E-148,1.5455E-147
Lpp,1.113632726,0.038552613,1.7874E-183,2.145E-182
Rhoc,1.109950779,0.036349803,8.8735E-205,1.1873E-203
Pdgfb,1.109787641,0.040485108,1.9599E-165,2.0982E-164
Insm1,1.108631152,0.042808026,7.0616E-148,6.8092E-147
Ccnd3,1.107332321,0.034791768,2.7029E-222,3.9451E-221
AI593442,1.106551098,0.025654503,0,0
S100a1,1.098936745,0.04101926,4.1415E-158,4.2605E-157
Itga6,1.097152811,0.027736786,0,0
Lzts1,1.095789976,0.037300719,1.0747E-189,1.3301E-188
Pitpnm2,1.095280536,0.035632614,1.7611E-207,2.3952E-206
Gpr83,1.089324449,0.029426279,5.7154E-300,1.2137E-298
Pbxip1,1.088726824,0.02169372,0,0
Gpr137b,1.08798213,0.040191808,2.2367E-161,2.3489E-160
Agtrap,1.082395359,0.021385527,0,0
Oxr1,1.082386634,0.030340996,9.9825E-279,1.9039E-277
Rcn1,1.081102745,0.026345597,0,0
Prss23,1.072857594,0.038744229,9.0185E-169,9.9302E-168
