gene,log2_fold-change,SE,pvalue,padj
Rcbtb2,0.534361458,0.02014528,4.939E-155,4.9876E-154
Sulf2,0.532955152,0.017636474,1.3366E-200,1.7548E-199
Pea15a,0.52468123,0.015663613,5.3618E-246,8.7392E-245
Mbd2,0.522886508,0.019253161,2.0109E-162,2.1215E-161
Gclc,0.510405422,0.019776684,7.1288E-147,6.8269E-146
Stt3b,0.501144428,0.015484243,8.5901E-230,1.2998E-228
Ttl,0.498552763,0.017113643,1.417E-186,1.7337E-185
Cxxc5,0.48493483,0.016613044,2.5972E-187,3.1842E-186
Tor1aip2,0.4752117,0.017744063,5.3153E-158,5.4649E-157
Twf1,0.464151258,0.016328775,9.8294E-178,1.1455E-176
Pip4k2c,0.457550751,0.015022313,9.3647E-204,1.2457E-202
Cttn,0.449583218,0.016081762,5.559E-172,6.2614E-171
Fam120a,0.434946847,0.016185953,4.6835E-159,4.8483E-158
Fam155a,0.409730173,0.014137306,1.1031E-184,1.3389E-183
9530068E07Rik,0.40153823,0.01513771,4.8998E-155,4.9508E-154
Herpud2,0.395997486,0.015048138,1.2788E-152,1.2667E-151
